540 162   configurations maxatom
   H    3.60165804E-01   -4.30692984E+00    1.39663845E+00
   H   -1.23871021E+00   -4.08448116E+00    6.27535421E-01
   H    1.85980176E-01   -4.46618232E+00   -3.83388368E-01
   O   -3.27747177E+00   -3.91841881E+00    8.12032257E-01
   H   -3.11847163E+00   -3.26691613E+00    1.50608922E+00
   H   -3.26605045E+00   -3.40201555E+00   -3.22820345E-03
15    -35.837800    1736.9951    nw1_s1000_w30
   C   -3.09878744E-01    1.37101616E-01    6.81363877E-01
   H   -1.12090060E+00    7.59751929E-01    1.12714534E+00
   H    5.83240304E-01    3.00755167E-01    1.29444272E+00
   H   -1.22620573E-01    5.49932642E-01   -3.18016672E-01
   C   -7.45099346E-01   -1.29611107E+00    6.34811915E-01
   O   -1.87627082E+00   -1.67358015E+00    9.33279921E-01
   N    2.19265993E-01   -2.20971214E+00    2.25160873E-01
   H    1.15567946E+00   -1.92651456E+00   -3.11918695E-02
   C   -8.69477830E-02   -3.65111805E+00    1.30501722E-01
   H    5.63818601E-01   -4.23441782E+00    8.02217464E-01
